Khóa,Mã HP,Tên HP,Số TC,Ngành,Kiểu môn
25,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,2,TE,0
25,SE422,Quản lý dự án phần mềm,3,TE,0
25,IP403,Thực tập ngành hệ thống thông tin quản lý,2,TE,1
25,SE487,CĐTN: Phát triển phần mềm,6,TE,1
25,IS487,CĐTN: Hệ thống thông tin quản lý,6,TE,1
25,IS484,CĐTN: Cơ sở dữ liệu,6,TE,1
25,NW439,CĐTN: An toàn mạng,6,TE,1
26,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TI,1
26,MA103,Số và cấu trúc đại số,2,TI,1
26,CS100,Tin đại cương,2,TI,1
26,MA110,Giải tích 1,3,TI,1
26,MA111,Giải tích 2,3,TI,1
26,MA120,Đại số tuyến tính,3,TI,1
26,MA231,Xác suất thống kê ứng dụng,4,TI,1
26,MI201,Toán rời rạc,3,TI,1
26,CF212,Cấu trúc dữ liệu,3,TI,1
26,CS110,Kỹ thuật số,2,TI,1
26,CS121,Ngôn ngữ lập trình,3,TI,1
26,CS122,Lập trình hướng đối tượng,3,TI,1
26,CS212,Kiến trúc máy tính,3,TI,1
26,CS315,Nguyên lý hệ điều hành,3,TI,1
26,IS222,Cơ sở dữ liệu,3,TI,1
26,NW212,Mạng máy tính,2,TI,1
26,MI312,Đồ họa,2,TI,1
26,MI321,Trí tuệ nhân tạo,3,TI,1
26,CF231,Lý thuyết thông tin và mã hóa,2,TI,1
26,CF301,Ngôn ngữ hình thức và Otomat,3,TI,1
26,IS322,Hệ quản trị cơ sở dữ liệu,3,TI,1
26,IS332,Phân tích thiết kế hướng đối tượng,3,TI,1
26,IS381,Hệ thống thông tin quản lý,3,TI,1
26,SE302,Công nghệ phần mềm,2,TI,1
26,MI414,Giao diện người máy,2,TI,1
26,SE422,Quản lý dự án phần mềm,3,TI,1
26,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TI,1
26,SE380,Project,4,TI,1
26,IS345,An toàn thông tin,2,TI,1
26,IS346,Pháp luật và chính sách an toàn thông tin,2,TI,1
26,CS316,Hệ điều hành Unix,3,TI,1
26,NW312,Thiết kế và quản trị mạng,3,TI,1
26,NW332,An toàn mạng,3,TI,1
26,CG101,Đồ họa căn bản,2,TI,1
26,CG102,Đồ họa vector,2,TI,1
26,CG103,Xử lý ảnh phục vụ in ấn và Web,3,TI,1
26,CG104,Quảng cáo và xuất bản truyền thông,3,TI,1
26,CG201,Thiết kế Web,3,TI,1
26,CG202,Web động và tương tác,5,TI,1
26,CG203,Adobe  Dream Weave CS6,2,TI,1
26,CF211,Phân tích và thiết kế thuật toán,2,TI,0
26,CS223,Lập trình Java,3,TI,0
26,CS224,Lập trình .Net,3,TI,0
26,CS311,Lập trình ứng dụng di động,3,TI,0
26,CS312,Lập trình hệ thống,3,TI,0
26,CS325,Lập trình PHP,3,TI,0
26,CS425,Một số vấn đề hiện đại trong khoa học máy tính,2,TI,0
26,IS424,Lập trình cơ sở dữ liệu,3,TI,0
26,IS333,Phân tích thiết kế hệ thống thông tin,2,TI,0
26,IS385,Cơ sở dữ liệu phân tán,2,TI,0
26,IP401,Thực tập ngành Khoa học máy tính,2,TI,1
26,CS499,KLTN ngành Khoa học máy tính,6,TI,1
26,CS428,CĐTN Công nghệ .Net,6,TI,1
26,CS429,CĐTN Công nghệ Java,6,TI,1
26,SE487,CĐTN: Phát triển phần mềm,6,TI,1
26,IS484,CĐTN Cơ sở dữ liệu,6,TI,1
26,NW439,CĐTN An toàn mạng,6,TI,1
26,CG428,CĐTN Đồ họa quảng cáo và xuất bản truyền thông,3,TI,1
26,CG429,CĐTN Thiết kế Web,3,TI,1
26,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TC,1
26,MA103,Số và cấu trúc đại số,2,TC,1
26,CS100,Tin đại cương,2,TC,1
26,MA110,Giải tích 1,3,TC,1
26,MA111,Giải tích 2,3,TC,1
26,MA120,Đại số tuyến tính,3,TC,1
26,MA231,Xác suất thống kê ứng dụng,4,TC,1
26,MI201,Toán rời rạc,3,TC,1
26,CF212,Cấu trúc dữ liệu,3,TC,1
26,CS110,Kỹ thuật số,2,TC,1
26,CS121,Ngôn ngữ lập trình,3,TC,1
26,CS122,Lập trình hướng đối tượng,3,TC,1
26,CS212,Kiến trúc máy tính,3,TC,1
26,CS315,Nguyên lý hệ điều hành,3,TC,1
26,IS222,Cơ sở dữ liệu,3,TC,1
26,NW212,Mạng máy tính,2,TC,1
26,CF231,Lý thuyết thông tin và mã hóa,2,TC,1
26,CF321,Xử lý tín hiệu số,2,TC,1
26,CS211,Vi điều khiển và ứng dụng,3,TC,1
26,NW312,Thiết kế và quản trị mạng,3,TC,1
26,NW332,An toàn mạng,3,TC,1
26,ET220,Lý thuyết mạch,3,TC,1
26,TC311,Kỹ thuật truyền tin,3,TC,1
26,TC313,Kỹ thuật truyền dẫn,3,TC,1
26,TC314,Kỹ thuật kết nối mạng,3,TC,1
